moves,x,y,count
49,4,6,4060
50,1,4,356
50,0,7,157
50,0,3,87
50,1,6,68
50,0,5,26
50,2,7,10
51,4,6,1266
51,3,7,31
51,2,6,16
51,0,6,2
51,0,4,1
52,1,4,569
52,0,7,270
52,4,3,269
52,3,4,96
52,1,6,94
52,5,2,92
52,4,1,91
52,5,0,65
52,0,3,63
52,7,4,59
52,6,3,55
52,6,1,52
52,0,5,26
52,7,2,25
52,2,7,22
52,5,4,17
52,3,2,9
53,6,4,1053
53,4,6,676
53,5,5,607
53,7,3,158
53,6,6,35
53,3,7,34
53,2,6,28
53,7,7,19
53,5,3,13
53,1,5,10
53,4,4,8
53,0,6,4
53,6,0,3
53,5,1,3
53,7,5,2
53,0,4,2
53,2,2,2
53,6,2,1
54,1,4,416
54,3,4,360
54,4,3,299
54,0,7,213
54,4,1,130
54,5,2,121
54,6,3,120
54,7,2,117
54,6,1,95
54,5,0,81
54,7,4,46
54,2,7,46
54,1,6,43
54,0,3,39
54,7,6,31
54,6,7,23
54,0,5,17
54,3,2,10
54,5,4,7
55,4,6,377
55,5,5,329
55,6,4,325
55,2,2,96
55,5,1,78
55,7,3,65
55,6,6,55
55,7,7,41
55,3,7,32
55,6,0,24
55,2,6,22
55,5,3,16
55,6,2,7
55,1,5,5
55,7,5,5
55,4,2,5
55,0,6,5
55,4,4,4
55,0,4,4
55,1,7,1
56,1,4,323
56,3,4,253
56,4,3,247
56,0,7,119
56,7,2,87
56,5,2,86
56,7,4,77
56,7,6,73
56,4,1,70
56,6,3,66
56,5,0,64
56,6,7,59
56,2,7,44
56,1,6,38
56,6,1,37
56,0,3,20
56,5,4,16
56,0,5,11
56,6,5,7
56,3,2,3
57,5,5,290
57,6,4,247
57,4,6,239
57,5,1,122
57,7,3,86
57,6,6,71
57,2,2,57
57,7,7,57
57,3,7,28
57,5,3,18
57,2,6,17
57,1,5,12
57,6,0,12
57,6,2,12
57,0,6,9
57,4,4,8
57,0,4,6
57,3,3,2
57,7,5,2
58,3,4,191
58,1,4,155
58,4,3,133
58,7,2,91
58,0,7,77
58,7,6,75
58,6,7,73
58,5,2,73
58,4,1,62
58,5,0,52
58,2,7,49
58,6,3,48
58,6,1,45
58,7,4,44
58,1,6,15
58,0,3,13
58,5,4,11
58,0,5,9
58,3,2,8
58,6,5,2
59,5,5,254
59,4,6,149
59,6,4,139
59,7,7,77
59,5,1,73
59,6,6,70
59,7,3,48
59,2,2,34
59,6,0,21
59,5,3,17
59,3,7,15
59,2,6,14
59,7,5,12
59,0,4,10
59,1,5,6
59,6,2,6
59,0,6,5
59,3,3,2
59,4,4,1
59,4,2,1
60,6,7,202
60,3,4,109
60,1,4,96
60,7,6,94
60,7,2,59
60,4,3,55
60,2,7,53
60,0,7,46
60,5,2,44
60,5,0,38
60,6,3,33
60,4,1,31
60,6,1,28
60,7,4,17
60,1,6,13
60,0,3,5
60,3,2,5
60,5,4,4
60,0,5,3
60,6,5,2
61,5,5,194
61,4,6,117
61,6,4,64
61,7,7,56
61,6,6,50
61,5,1,46
61,7,3,22
61,6,0,20
61,1,5,14
61,2,2,12
61,5,3,11
61,3,7,8
61,2,6,6
61,4,4,4
61,7,5,2
61,6,2,2
61,0,6,1
62,6,7,107
62,3,4,101
62,7,6,65
62,2,7,59
62,7,2,42
62,1,4,34
62,0,7,28
62,5,2,27
62,4,1,21
62,6,3,19
62,4,3,19
62,5,0,17
62,7,4,7
62,1,6,5
62,6,1,5
62,3,2,2
62,0,3,2
62,6,5,1
62,0,5,1
63,5,5,147
63,4,6,136
63,7,7,41
63,6,6,35
63,6,4,31
63,5,1,15
63,6,0,12
63,2,2,10
63,1,5,10
63,2,6,9
63,3,7,8
63,6,2,4
63,7,3,4
63,7,5,4
63,4,4,3
63,5,3,2
63,1,7,1
63,0,4,1
64,6,7,64
64,7,6,48
64,3,4,45
64,2,7,44
64,1,4,23
64,0,7,22
64,7,2,13
64,4,1,11
64,4,3,10
64,5,2,10
64,6,3,7
64,5,0,6
64,7,4,5
64,1,6,4
64,6,5,3
64,6,1,3
64,3,2,3
64,0,3,3
64,0,5,1
65,4,6,133
65,5,5,85
65,7,7,23
65,6,6,17
65,6,4,9
65,5,1,9
65,1,5,8
65,2,6,7
65,3,7,6
65,0,6,5
65,2,2,5
65,7,5,4
65,6,0,3
65,7,3,2
65,5,3,2
65,4,4,1
65,0,4,1
66,2,7,47
66,6,7,33
66,3,4,30
66,1,4,21
66,0,7,21
66,7,6,14
66,7,2,7
66,4,1,6
66,1,6,6
66,6,1,4
66,6,5,3
66,0,5,2
66,5,2,2
66,5,0,1
66,6,3,1
66,3,2,1
67,4,6,104
67,5,5,56
67,7,7,23
67,6,6,15
67,5,1,11
67,2,6,10
67,1,5,10
67,6,4,8
67,3,7,8
67,7,5,3
67,2,2,3
67,6,0,3
67,0,6,2
67,7,3,2
67,4,4,1
68,2,7,53
68,0,7,31
68,3,4,18
68,1,4,12
68,7,6,12
68,6,7,10
68,4,1,8
68,5,2,5
68,1,6,4
68,6,3,3
68,5,0,3
68,0,5,2
68,6,1,2
68,4,3,2
68,7,4,1
68,7,2,1
69,4,6,81
69,5,5,41
69,7,7,31
69,6,6,15
69,3,7,7
69,2,6,7
69,5,1,4
69,1,5,3
69,2,2,3
69,7,5,3
69,6,0,2
69,0,4,1
69,6,2,1
69,7,3,1
69,6,4,1
69,1,7,1
70,2,7,31
70,0,7,15
70,3,4,9
70,1,4,6
70,7,2,5
70,4,1,4
70,6,7,3
70,7,6,3
70,5,0,2
70,5,2,1
70,1,6,1
70,4,3,1
70,6,3,1
70,6,1,1
71,4,6,78
71,5,5,27
71,3,7,13
71,7,7,10
71,6,6,7
71,2,6,6
71,6,4,4
71,1,5,3
71,5,1,2
71,2,2,2
71,7,5,2
71,4,4,1
71,0,6,1
72,2,7,15
72,0,7,10
72,3,4,5
72,6,7,5
72,4,1,4
72,1,4,4
72,7,6,3
72,5,0,3
72,5,2,1
72,1,6,1
72,6,1,1
73,4,6,27
73,5,5,16
73,6,6,11
73,3,7,10
73,7,7,8
73,6,0,3
73,2,6,3
73,5,1,2
73,2,2,2
73,5,3,1
73,6,4,1
73,1,5,1
74,2,7,12
74,3,4,7
74,6,7,7
74,7,6,4
74,7,2,3
74,0,7,2
74,4,1,1
74,7,4,1
74,1,4,1
75,4,6,23
75,5,5,22
75,6,6,14
75,3,7,14
75,7,7,7
75,2,6,3
75,2,2,2
75,4,4,1
75,6,0,1
75,6,4,1
75,0,4,1
76,2,7,5
76,6,7,5
76,3,4,4
76,7,6,3
76,4,1,2
76,5,2,1
76,6,1,1
76,5,0,1
76,1,6,1
76,0,7,1
77,5,5,16
77,4,6,15
77,3,7,8
77,6,6,7
77,7,7,6
77,1,5,2
77,6,4,1
77,2,2,1
77,0,4,1
77,7,3,1
77,0,6,1
77,6,0,1
77,7,5,1
77,2,6,1
78,4,1,5
78,0,7,5
78,6,7,4
78,1,4,2
78,3,4,2
78,7,6,2
78,2,7,2
79,4,6,18
79,5,5,8
79,3,7,5
79,6,6,4
79,7,7,4
79,6,4,1
79,2,6,1
79,5,1,1
80,7,6,5
80,3,4,5
80,4,1,3
80,0,7,1
80,6,1,1
80,2,7,1
80,6,7,1
81,5,5,9
81,3,7,5
81,4,6,4
81,6,6,3
81,7,7,2
81,2,2,1
81,5,1,1
81,6,4,1
82,7,6,2
82,3,4,2
82,4,1,2
82,6,7,2
82,1,6,1
82,0,7,1
82,7,2,1
82,5,2,1
83,5,5,10
83,4,6,6
83,7,7,3
83,3,7,2
83,6,6,1
83,5,1,1
84,4,1,4
84,2,7,1
84,7,2,1
84,1,6,1
85,4,6,6
85,5,5,3
85,3,7,2
86,7,6,1
86,4,1,1
86,1,4,1
86,7,2,1
87,4,6,5
87,5,5,4
87,1,5,1
87,7,5,1
87,3,7,1
87,7,7,1
88,7,6,2
88,3,4,1
88,6,7,1
89,4,6,5
89,5,5,2
89,0,6,1
90,6,7,3
90,7,2,1
90,0,7,1
91,4,6,3
91,3,7,1
92,7,6,1
92,3,4,1
92,7,2,1
92,4,1,1
93,5,5,2
93,1,5,1
93,3,7,1
93,4,6,1
94,6,7,3
94,3,4,1
94,7,6,1
95,4,6,1
96,3,4,1
96,4,1,1
98,1,4,1
99,4,6,1
99,5,5,1
99,3,7,1
100,3,4,2
100,4,1,1
101,5,5,2
102,4,1,1
104,7,2,1
105,4,6,1
105,3,7,1
109,4,6,3
112,5,2,1
123,5,5,1
123,1,5,1
125,4,6,1
