x,y,value,players,mean_seconds
0,0,4.88,24987,9.21
1,0,0.43,25202,1.31
2,0,0.39,26440,1.02
3,0,0.39,23337,0.54
4,0,0.74,26470,1.17
0,1,0.66,15755,1.2
1,1,0.44,26453,0.83
2,1,0.65,24545,1.12
4,1,0.75,26196,1.64
2,2,1.08,26476,1.61
3,2,0.57,22394,0.8
4,2,0.74,26497,1.18
5,2,0.65,25688,1.01
1,3,0.68,26113,1.25
2,3,0.77,26359,1.4
4,3,0.6,26465,1.09
5,3,0.61,25701,0.9
1,4,0.52,26483,1.09
2,4,0.56,25824,0.93
3,4,0.59,25400,1
4,4,0.67,26455,1.37
1,5,0.58,26060,1.12
2,5,0.43,26374,0.7
3,5,0.45,26414,0.88
4,5,0.65,26226,1.28
