x,y,players,median_seconds
0,0,1316,5.14
1,0,1316,0.46
5,0,1316,0.38
6,0,1316,0.35
7,0,1316,0.4
8,0,1316,0.41
9,0,1316,0.41
10,0,1316,0.36
11,0,1316,0.42
0,1,1316,0.53
1,1,1316,0.43
4,1,1316,0.28
5,1,1316,0.32
7,1,1316,0.38
8,1,1316,0.38
9,1,1316,0.36
10,1,1316,0.35
11,1,1316,0.44
0,2,1316,0.42
1,2,1316,0.35
2,2,1316,0.43
6,2,1316,0.51
7,2,1316,0.45
8,2,1316,0.46
9,2,1316,0.43
10,2,1316,0.39
11,2,1316,0.39
0,3,1316,1.02
1,3,1316,0.35
2,3,1316,0.44
4,3,1316,0.48
5,3,1316,0.5
6,3,1316,0.46
7,3,1316,0.38
8,3,1316,0.47
10,3,1316,0.32
11,3,1316,0.43
0,4,1316,0.52
1,4,1316,0.38
2,4,1316,0.48
3,4,1316,0.62
4,4,1316,0.46
5,4,1316,0.41
6,4,1316,0.5
7,4,1316,0.37
8,4,1316,0.46
0,5,1316,0.45
1,5,1316,0.43
2,5,1316,0.51
3,5,1316,0.48
4,5,1316,0.48
5,5,1316,0.44
6,5,1316,0.42
7,5,1316,0.43
8,5,1316,0.45
9,5,1316,0.47
10,5,1316,0.37
11,5,1316,0.48
0,6,1316,0.4
1,6,1316,0.45
2,6,1316,0.48
3,6,1316,0.45
4,6,1316,0.48
5,6,1316,0.42
6,6,1316,0.37
7,6,1316,0.37
8,6,1316,0.33
9,6,1316,0.34
10,6,1316,0.33
11,6,1316,0.35
0,7,1316,0.42
1,7,1316,0.38
4,7,1316,0.55
5,7,1316,0.43
6,7,1316,0.34
7,7,1316,0.35
8,7,1316,0.28
9,7,1316,0.28
10,7,1316,0.3
11,7,1316,0.42
0,8,1316,0.28
3,8,1316,0.93
4,8,1316,0.61
5,8,1316,0.53
6,8,1316,0.4
7,8,1316,0.37
8,8,1316,0.3
9,8,1316,0.28
10,8,1316,0.27
11,8,1316,0.4
0,9,1316,0.25
2,9,1316,0.48
3,9,1316,0.68
4,9,1316,0.53
5,9,1316,0.58
6,9,1316,0.36
7,9,1316,0.37
8,9,1316,0.26
9,9,1316,0.24
10,9,1316,0.27
11,9,1316,0.41
0,10,1316,0.3
2,10,1316,0.37
3,10,1316,0.37
6,10,1316,0.38
7,10,1316,0.34
8,10,1316,0.32
9,10,1316,0.25
10,10,1316,0.27
11,10,1316,0.34
0,11,1316,0.48
1,11,1316,0.4
2,11,1316,0.42
3,11,1316,0.42
6,11,1316,0.43
7,11,1316,0.31
8,11,1316,0.23
9,11,1316,0.24
10,11,1316,0.28
11,11,1316,0.5
