x,y,value,pct
2,0,319,3.4
4,0,100,1.1
6,0,46,0.5
8,0,14,0.2
9,0,13,0.1
1,1,81,0.9
2,1,32,0.3
3,1,1033,11.1
5,1,614,6.6
7,1,312,3.4
8,1,85,0.9
9,1,19,0.2
0,2,114,1.2
1,2,42,0.5
4,2,324,3.5
6,2,59,0.6
7,2,8,0.1
8,2,279,3
9,2,6,0.1
0,3,8,0.1
1,3,41,0.4
2,3,58,0.6
3,3,35,0.4
4,3,18,0.2
5,3,84,0.9
6,3,90,1
9,3,83,0.9
0,4,5,0.1
1,4,172,1.9
2,4,84,0.9
3,4,59,0.6
5,4,44,0.5
6,4,42,0.5
7,4,4,0
8,4,119,1.3
9,4,2,0
0,5,132,1.4
3,5,35,0.4
4,5,115,1.2
5,5,38,0.4
7,5,766,8.2
8,5,4,0
9,5,103,1.1
1,6,108,1.2
2,6,33,0.4
3,6,53,0.6
4,6,57,0.6
5,6,20,0.2
6,6,394,4.2
8,6,288,3.1
9,6,15,0.2
0,7,26,0.3
1,7,27,0.3
2,7,136,1.5
3,7,12,0.1
4,7,42,0.5
5,7,9,0.1
6,7,1,0
7,7,310,3.3
9,7,4,0
0,8,5,0.1
1,8,195,2.1
2,8,57,0.6
3,8,206,2.2
5,8,210,2.3
6,8,49,0.5
9,8,65,0.7
0,9,163,1.8
1,9,8,0.1
2,9,44,0.5
3,9,2,0
4,9,289,3.1
6,9,67,0.7
8,9,754,8.1
