seconds,count
0,2
0.5,475
1,2852
1.5,3569
2,2469
2.5,1676
3,1207
3.5,943
4,767
4.5,584
5,532
5.5,444
6,399
6.5,345
7,345
7.5,277
8,229
8.5,207
9,216
9.5,219
10,176
10.5,169
11,151
11.5,152
12,133
12.5,118
13,111
13.5,111
14,96
14.5,112
15,101
15.5,87
16,96
16.5,80
17,80
17.5,80
18,73
18.5,79
19,83
19.5,59
20,59
20.5,45
21,71
21.5,50
22,55
22.5,59
23,60
23.5,59
24,51
24.5,44
25,41
25.5,44
26,41
26.5,32
27,34
27.5,34
28,45
28.5,30
29,38
29.5,36
30,35
30.5,30
31,37
31.5,33
32,31
32.5,26
33,37
33.5,24
34,19
34.5,31
35,28
35.5,19
36,25
36.5,25
37,20
37.5,29
38,23
38.5,27
39,20
39.5,16
40,24
40.5,17
41,19
41.5,23
42,11
42.5,9
43,16
43.5,22
44,16
44.5,19
45,21
45.5,24
46,17
46.5,12
47,18
47.5,7
48,21
48.5,13
49,8
49.5,14
50,20
50.5,15
51,20
51.5,8
52,15
52.5,10
53,14
53.5,6
54,11
54.5,7
55,13
55.5,20
56,13
56.5,14
57,7
57.5,4
58,10
58.5,6
59,13
59.5,8
60,5
