x,y,value,players,mean_seconds
0,0,2.61,23679,6.58
1,0,0.29,24392,0.42
2,0,0.22,24391,0.33
3,0,0.24,24354,0.99
4,0,0.29,24333,1.25
5,0,0.37,24061,0.51
6,0,0.73,24282,1.17
4,1,0.81,23921,1.59
5,1,0.41,24026,0.59
6,1,0.61,24100,1.31
2,2,0.62,24164,1.23
3,2,0.43,24353,0.68
4,2,0.57,24384,1.04
5,2,0.41,23929,0.69
6,2,0.42,24360,0.74
7,2,0.64,23929,1.05
0,3,0.76,24158,1.45
1,3,0.83,24388,1.53
2,3,0.78,24385,1.52
3,3,0.54,24388,0.9
4,3,0.47,23355,0.91
5,3,0.54,24309,0.94
6,3,0.57,24030,1.34
7,3,0.35,24001,0.61
0,4,0.42,24364,0.78
1,4,0.58,22372,0.94
3,4,0.55,23148,0.94
4,4,0.5,24361,0.81
5,4,0.61,24337,0.89
6,4,0.43,22506,0.81
7,4,0.28,24137,0.62
0,5,0.44,24295,1.07
1,5,0.43,24307,0.64
5,5,0.6,22264,1.08
6,5,0.51,24372,1.11
7,5,0.25,24352,0.44
0,6,0.48,24356,1.03
1,6,0.58,24096,0.94
2,6,0.41,24244,0.56
3,6,0.7,24394,0.91
4,6,0.64,16855,1
6,6,0.38,23983,0.78
7,6,0.3,23955,0.4
0,7,0.55,23373,0.87
1,7,0.38,24391,0.63
2,7,0.36,23900,0.5
3,7,0.5,24153,0.77
6,7,0.48,23787,0.78
7,7,0.54,23984,0.7
