level,optimal,n,efficiency_p10,efficiency_median,efficiency_p90
tutorial,32,37023,0.8889,1,1
round1,26,33820,0.8387,0.9286,1
round2,49,30954,0.7778,0.9074,1
bonus1,87,11475,0.7768,0.8878,0.956
bonus2,121,9819,0.7908,0.8897,0.968
bonus3,177,8912,0.816,0.9124,0.9568
