x,y,value,players,mean_seconds
0,0,4.41,22648,7.76
1,0,0.54,22636,1.16
2,0,0.35,22747,0.56
3,0,0.32,22695,0.48
4,0,0.4,22793,0.58
5,0,0.82,22380,1.27
0,1,0.7,22189,1.11
1,1,0.35,22771,0.56
2,1,0.29,20975,0.49
3,1,0.32,22642,0.45
4,1,0.51,22642,0.72
5,1,0.44,22795,0.87
0,2,0.37,22748,0.62
1,2,0.48,11638,1.11
4,2,0.37,22423,0.52
5,2,0.32,21905,0.49
0,3,0.33,22604,0.65
1,3,0.38,22657,0.54
4,3,0.37,21344,0.51
5,3,0.28,22541,0.39
0,4,0.38,22792,0.74
1,4,0.51,22290,0.79
2,4,0.37,22430,0.47
3,4,0.35,22466,0.51
4,4,0.52,22740,0.68
5,4,0.34,22716,0.49
0,5,0.64,20509,0.93
1,5,0.34,22794,0.52
2,5,0.25,22420,0.36
3,5,0.25,22739,0.37
4,5,0.3,22609,0.46
5,5,0.63,22568,0.84
