x,y,players,median_seconds
0,0,9819,3.04
1,0,9267,0.58
5,0,9819,0.71
6,0,9819,0.51
7,0,9819,0.68
8,0,9818,0.4
9,0,9814,0.35
10,0,9813,0.36
11,0,9672,0.56
0,1,9773,0.5
1,1,9809,0.5
3,1,5140,0.71
4,1,9819,0.44
5,1,9819,0.59
7,1,9802,0.57
8,1,9798,0.45
9,1,9780,0.37
10,1,9593,0.39
11,1,9815,0.41
0,2,9818,0.29
1,2,9805,0.49
2,2,9713,0.46
6,2,9466,0.57
7,2,9819,0.58
8,2,9818,0.59
9,2,9780,0.46
10,2,9819,0.45
11,2,9807,0.37
0,3,9819,0.28
1,3,9809,0.33
2,3,9767,0.44
4,3,9725,0.51
5,3,9803,0.47
6,3,9817,0.49
7,3,9761,0.43
8,3,9817,0.58
10,3,9716,0.36
11,3,9786,0.45
0,4,9818,0.26
1,4,9798,0.37
2,4,9816,0.52
3,4,9712,0.54
4,4,9818,0.58
5,4,9777,0.38
6,4,9805,0.36
7,4,9807,0.38
8,4,9797,0.47
0,5,9817,0.25
1,5,9818,0.41
2,5,9674,0.43
3,5,9800,0.37
4,5,9797,0.37
5,5,9811,0.37
6,5,9774,0.33
7,5,9803,0.37
8,5,9818,0.54
9,5,9813,0.43
10,5,9816,0.39
11,5,9641,0.57
0,6,9809,0.25
1,6,9817,0.71
2,6,9788,0.45
3,6,9803,0.38
4,6,9817,0.45
5,6,9798,0.33
6,6,9804,0.31
7,6,9813,0.31
8,6,9801,0.27
9,6,9817,0.27
10,6,9767,0.34
11,6,9819,0.38
0,7,9818,0.24
1,7,9066,0.42
4,7,9778,0.57
5,7,9800,0.37
6,7,9808,0.28
7,7,9800,0.25
8,7,9813,0.23
9,7,9742,0.23
10,7,9814,0.25
11,7,9774,0.39
0,8,9755,0.21
3,8,9605,0.74
4,8,9816,0.65
5,8,9811,0.39
6,8,9791,0.32
7,8,9813,0.28
8,8,9617,0.23
9,8,9813,0.23
10,8,9799,0.24
11,8,9812,0.36
0,9,9817,0.2
2,9,9793,0.53
3,9,9819,0.69
4,9,9760,0.45
5,9,9811,0.5
6,9,9818,0.42
7,9,9808,0.36
8,9,9796,0.24
9,9,9755,0.22
10,9,9814,0.24
11,9,9801,0.41
0,10,9818,0.23
2,10,9743,0.4
3,10,9817,0.43
6,10,9794,0.42
7,10,9803,0.39
8,10,9815,0.28
9,10,9817,0.23
10,10,9771,0.28
11,10,9813,0.38
0,11,9818,0.59
1,11,9804,0.39
2,11,9819,0.47
3,11,9763,0.49
6,11,9791,0.43
7,11,9810,0.31
8,11,9811,0.21
9,11,9807,0.2
10,11,9816,0.24
11,11,9557,0.55
