x,y,value,players
0,0,3.13,8912
1,0,0.5,8912
2,0,0.2,8892
3,0,0.18,8912
4,0,0.18,8904
5,0,0.18,8907
6,0,0.18,8902
7,0,0.18,8852
8,0,0.18,8880
9,0,0.19,8912
10,0,0.19,8899
11,0,0.23,8911
12,0,0.67,8884
1,1,0.56,8807
2,1,0.32,8899
3,1,0.24,8889
4,1,0.27,8909
5,1,0.3,8874
6,1,0.45,8822
9,1,0.6,8826
10,1,0.36,8904
11,1,0.39,8870
12,1,0.42,8907
0,2,0.58,8819
1,2,0.48,8911
2,2,0.36,8873
3,2,0.36,8895
4,2,0.5,8793
6,2,0.45,8893
7,2,0.37,8870
8,2,0.35,8876
9,2,0.46,8911
10,2,0.38,8873
11,2,0.37,8901
12,2,0.52,8876
0,3,0.37,8909
1,3,0.4,8874
2,3,0.37,8895
3,3,0.43,8840
4,3,0.48,8895
5,3,0.43,8880
6,3,0.32,8897
7,3,0.29,8893
8,3,0.3,8889
9,3,0.36,8895
10,3,0.4,8900
11,3,0.39,8890
12,3,0.43,8912
13,3,0.52,8845
0,4,0.28,8900
1,4,0.3,8897
2,4,0.35,8840
3,4,0.45,8822
5,4,0.49,8776
6,4,0.37,8846
7,4,0.31,8855
8,4,0.31,8880
9,4,0.31,8883
10,4,0.34,8894
11,4,0.38,8902
12,4,0.43,8890
13,4,0.34,8908
0,5,0.26,8909
1,5,0.26,8898
2,5,0.35,8894
3,5,0.43,8874
4,5,0.47,8820
5,5,0.56,8912
6,5,0.44,8686
7,5,0.58,8905
8,5,0.4,8672
9,5,0.36,8905
10,5,0.35,8897
11,5,0.35,8865
12,5,0.35,8910
13,5,0.25,8906
0,6,0.26,8895
1,6,0.29,8911
2,6,0.42,8854
3,6,0.41,8896
4,6,0.39,8829
5,6,0.48,8750
7,6,0.5,8270
9,6,0.4,8781
10,6,0.33,8892
11,6,0.38,8902
12,6,0.39,8874
13,6,0.28,8909
0,7,0.25,8907
1,7,0.33,8874
3,7,0.48,8835
4,7,0.37,8870
5,7,0.42,8853
6,7,0.42,8749
7,7,0.58,8909
8,7,0.42,8804
9,7,0.38,8898
10,7,0.34,8881
11,7,0.35,8895
12,7,0.48,8910
13,7,0.64,8873
0,8,0.28,8902
1,8,0.32,8911
2,8,0.43,8837
3,8,0.4,8897
4,8,0.35,8859
5,8,0.34,8871
6,8,0.34,8864
7,8,0.36,8859
8,8,0.37,8898
9,8,0.35,8886
10,8,0.36,8894
11,8,0.35,8897
12,8,0.43,8905
0,9,0.31,8906
1,9,0.31,8899
2,9,0.33,8900
3,9,0.33,8888
4,9,0.33,8891
5,9,0.32,8883
6,9,0.3,8885
7,9,0.34,8902
8,9,0.35,8885
9,9,0.42,8908
10,9,0.39,8884
11,9,0.47,8875
12,9,0.5,8899
0,10,0.35,8911
1,10,0.39,8897
2,10,0.34,8900
3,10,0.36,8903
4,10,0.35,8867
5,10,0.32,8895
6,10,0.29,8895
7,10,0.32,8891
8,10,0.39,8898
9,10,0.51,8830
12,10,0.44,8852
13,10,0.47,8858
0,11,0.81,8912
1,11,0.5,8906
2,11,0.55,8912
3,11,0.42,8860
4,11,0.39,8898
5,11,0.65,8912
6,11,0.41,8889
7,11,0.58,8911
8,11,0.43,8880
9,11,0.51,8909
10,11,0.46,8862
11,11,0.42,8902
12,11,0.42,8896
13,11,0.37,8908
0,12,0.6,8912
2,12,0.6,8830
3,12,0.48,8911
5,12,0.47,8330
7,12,0.5,8721
8,12,0.6,8909
9,12,0.57,8869
10,12,0.46,8911
11,12,0.38,8832
12,12,0.36,8878
13,12,0.36,8866
0,13,0.79,8912
1,13,0.57,7154
3,13,0.56,8847
4,13,0.35,8872
5,13,0.51,8912
6,13,0.33,8844
7,13,0.51,8911
8,13,0.55,8843
10,13,0.46,8803
11,13,0.36,8905
12,13,0.36,8907
13,13,0.54,8824
