x,y,value,players
0,0,3.04,9819
1,0,0.58,9267
5,0,0.71,9819
6,0,0.51,9819
7,0,0.68,9819
8,0,0.4,9818
9,0,0.35,9814
10,0,0.36,9813
11,0,0.56,9672
0,1,0.5,9773
1,1,0.5,9809
3,1,0.71,5140
4,1,0.44,9819
5,1,0.59,9819
7,1,0.57,9802
8,1,0.45,9798
9,1,0.37,9780
10,1,0.39,9593
11,1,0.41,9815
0,2,0.29,9818
1,2,0.49,9805
2,2,0.46,9713
6,2,0.57,9466
7,2,0.58,9819
8,2,0.59,9818
9,2,0.46,9780
10,2,0.45,9819
11,2,0.37,9807
0,3,0.28,9819
1,3,0.33,9809
2,3,0.44,9767
4,3,0.51,9725
5,3,0.47,9803
6,3,0.49,9817
7,3,0.43,9761
8,3,0.58,9817
10,3,0.36,9716
11,3,0.45,9786
0,4,0.26,9818
1,4,0.37,9798
2,4,0.52,9816
3,4,0.54,9712
4,4,0.58,9818
5,4,0.38,9777
6,4,0.36,9805
7,4,0.38,9807
8,4,0.47,9797
0,5,0.25,9817
1,5,0.41,9818
2,5,0.43,9674
3,5,0.37,9800
4,5,0.37,9797
5,5,0.37,9811
6,5,0.33,9774
7,5,0.37,9803
8,5,0.54,9818
9,5,0.43,9813
10,5,0.39,9816
11,5,0.57,9641
0,6,0.25,9809
1,6,0.71,9817
2,6,0.45,9788
3,6,0.38,9803
4,6,0.45,9817
5,6,0.33,9798
6,6,0.31,9804
7,6,0.31,9813
8,6,0.27,9801
9,6,0.27,9817
10,6,0.34,9767
11,6,0.38,9819
0,7,0.24,9818
1,7,0.42,9066
4,7,0.57,9778
5,7,0.37,9800
6,7,0.28,9808
7,7,0.25,9800
8,7,0.23,9813
9,7,0.23,9742
10,7,0.25,9814
11,7,0.39,9774
0,8,0.21,9755
3,8,0.74,9605
4,8,0.65,9816
5,8,0.39,9811
6,8,0.32,9791
7,8,0.28,9813
8,8,0.23,9617
9,8,0.23,9813
10,8,0.24,9799
11,8,0.36,9812
0,9,0.2,9817
2,9,0.53,9793
3,9,0.69,9819
4,9,0.45,9760
5,9,0.5,9811
6,9,0.42,9818
7,9,0.36,9808
8,9,0.24,9796
9,9,0.22,9755
10,9,0.24,9814
11,9,0.41,9801
0,10,0.23,9818
2,10,0.4,9743
3,10,0.43,9817
6,10,0.42,9794
7,10,0.39,9803
8,10,0.28,9815
9,10,0.23,9817
10,10,0.28,9771
11,10,0.38,9813
0,11,0.59,9818
1,11,0.39,9804
2,11,0.47,9819
3,11,0.49,9763
6,11,0.43,9791
7,11,0.31,9810
8,11,0.21,9811
9,11,0.2,9807
10,11,0.24,9816
11,11,0.55,9557
