x,y,value,pct
5,0,333,1.4
6,0,105,0.4
4,1,460,1.9
5,1,368,1.5
6,1,275,1.1
2,2,230,0.9
3,2,41,0.2
4,2,6,0
5,2,465,1.9
6,2,33,0.1
7,2,456,1.9
0,3,232,1
3,3,4,0
4,3,1035,4.2
5,3,80,0.3
6,3,353,1.4
7,3,389,1.6
0,4,28,0.1
1,4,2020,8.3
3,4,1243,5.1
4,4,32,0.1
5,4,55,0.2
6,4,1886,7.7
7,4,257,1.1
0,5,98,0.4
1,5,87,0.4
5,5,2126,8.7
6,5,18,0.1
7,5,41,0.2
0,6,36,0.1
1,6,295,1.2
2,6,150,0.6
4,6,7536,30.9
6,6,410,1.7
7,6,439,1.8
0,7,1020,4.2
1,7,3,0
2,7,494,2
3,7,241,1
6,7,605,2.5
7,7,409,1.7
