x,y,players,mean_seconds,median_seconds
0,0,937,4.43,2.41
1,0,899,1.15,0.77
5,0,939,1.38,1.07
6,0,939,0.85,0.67
7,0,939,1.35,0.93
8,0,939,0.75,0.47
9,0,938,0.5,0.31
10,0,937,0.55,0.37
11,0,932,1.07,0.63
0,1,935,0.69,0.5
1,1,938,0.81,0.56
3,1,753,1.73,0.96
4,1,939,0.71,0.58
5,1,939,1.14,0.89
7,1,930,1.03,0.74
8,1,938,0.85,0.45
9,1,933,0.55,0.39
10,1,913,0.68,0.47
11,1,938,0.74,0.45
0,2,939,0.36,0.2
1,2,937,0.91,0.62
2,2,897,0.85,0.55
6,2,881,1.05,0.7
7,2,939,1.03,0.7
8,2,938,0.98,0.66
9,2,936,0.72,0.48
10,2,939,0.74,0.53
11,2,939,0.77,0.48
0,3,939,0.37,0.18
1,3,936,0.57,0.35
2,3,930,0.78,0.55
4,3,922,0.97,0.58
5,3,937,0.74,0.5
6,3,938,0.86,0.57
7,3,937,0.77,0.5
8,3,939,1.05,0.65
10,3,915,0.72,0.45
11,3,926,0.73,0.51
0,4,938,0.49,0.2
1,4,938,0.89,0.48
2,4,939,0.94,0.6
3,4,927,0.84,0.55
4,4,939,1,0.69
5,4,936,0.6,0.36
6,4,938,0.55,0.31
7,4,939,0.66,0.43
8,4,938,1.04,0.58
0,5,938,0.46,0.2
1,5,939,0.77,0.45
2,5,930,0.55,0.38
3,5,934,0.45,0.28
4,5,939,0.49,0.24
5,5,938,0.44,0.23
6,5,938,0.43,0.22
7,5,939,0.55,0.3
8,5,939,0.8,0.55
9,5,938,0.63,0.39
10,5,937,0.6,0.46
11,5,930,0.98,0.68
0,6,939,0.52,0.24
1,6,939,1.12,0.86
2,6,937,0.71,0.45
3,6,939,0.52,0.37
4,6,939,0.71,0.47
5,6,939,0.51,0.27
6,6,939,0.45,0.24
7,6,939,0.43,0.23
8,6,939,0.42,0.21
9,6,939,0.41,0.21
10,6,934,0.49,0.4
11,6,939,0.66,0.43
0,7,939,0.42,0.19
1,7,711,0.97,0.64
4,7,930,0.93,0.64
5,7,937,0.5,0.33
6,7,938,0.37,0.22
7,7,939,0.42,0.21
8,7,939,0.35,0.21
9,7,936,0.38,0.21
10,7,939,0.42,0.25
11,7,937,0.66,0.43
0,8,934,0.25,0.17
3,8,902,1.22,0.8
4,8,937,0.95,0.73
5,8,935,0.52,0.31
6,8,937,0.42,0.22
7,8,939,0.43,0.21
8,8,936,0.34,0.2
9,8,936,0.33,0.2
10,8,936,0.44,0.24
11,8,938,0.7,0.42
0,9,939,0.22,0.17
2,9,929,1.12,0.63
3,9,939,1.27,0.89
4,9,937,0.73,0.5
5,9,937,0.64,0.45
6,9,939,0.59,0.43
7,9,939,0.47,0.29
8,9,937,0.33,0.21
9,9,937,0.3,0.2
10,9,938,0.38,0.23
11,9,936,0.78,0.51
0,10,939,0.28,0.18
2,10,905,0.68,0.47
3,10,937,0.76,0.54
6,10,937,0.66,0.49
7,10,934,0.61,0.44
8,10,938,0.37,0.23
9,10,939,0.35,0.22
10,10,933,0.5,0.37
11,10,937,0.7,0.5
0,11,938,1.02,0.77
1,11,935,0.61,0.43
2,11,939,0.91,0.53
3,11,928,1,0.65
6,11,933,0.72,0.51
7,11,938,0.47,0.36
8,11,937,0.31,0.19
9,11,936,0.29,0.19
10,11,938,0.4,0.25
11,11,917,0.86,0.62
