seconds,count
0.25,8
0.5,156
0.75,564
1,1269
1.25,1660
1.5,1552
1.75,1349
2,1124
2.25,911
2.5,714
2.75,643
3,544
3.25,509
3.5,419
3.75,399
4,349
4.25,284
4.5,272
4.75,254
5,246
5.25,210
5.5,212
5.75,195
6,183
6.25,178
6.5,152
6.75,172
7,151
7.25,137
7.5,142
7.75,113
8,103
8.25,99
8.5,93
8.75,99
9,104
9.25,104
9.5,113
9.75,82
10,81
10.25,92
10.5,61
10.75,69
11,70
11.25,85
11.5,60
11.75,79
12,61
12.25,58
12.5,47
12.75,60
13,51
13.25,47
13.5,45
13.75,48
14,53
14.25,35
14.5,65
14.75,45
15,23
