x,y,value,pct
0,0,512,5.2
1,0,131,1.3
5,0,5252,53.5
6,0,5293,53.9
7,0,6187,63
8,0,1829,18.6
9,0,1044,10.6
10,0,1209,12.3
11,0,184,1.9
0,1,251,2.6
1,1,3851,39.2
3,1,9,0.1
4,1,5152,52.5
5,1,5169,52.6
7,1,3471,35.3
8,1,1328,13.5
9,1,1290,13.1
10,1,653,6.7
11,1,589,6
0,2,418,4.3
1,2,4313,43.9
2,2,170,1.7
6,2,264,2.7
7,2,4471,45.5
8,2,3826,39
9,2,1377,14
10,2,2151,21.9
11,2,681,6.9
0,3,362,3.7
1,3,999,10.2
2,3,1155,11.8
4,3,243,2.5
5,3,1754,17.9
6,3,3075,31.3
7,3,1351,13.8
8,3,1413,14.4
10,3,67,0.7
11,3,202,2.1
0,4,541,5.5
1,4,1172,11.9
2,4,2825,28.8
3,4,2231,22.7
4,4,4493,45.8
5,4,1051,10.7
6,4,1112,11.3
7,4,1696,17.3
8,4,850,8.7
0,5,497,5.1
1,5,1182,12
2,5,898,9.1
3,5,1006,10.2
4,5,980,10
5,5,1577,16.1
6,5,787,8
7,5,1191,12.1
8,5,4176,42.5
9,5,2888,29.4
10,5,2934,29.9
11,5,159,1.6
0,6,876,8.9
1,6,6485,66
2,6,1274,13
3,6,1567,16
4,6,2741,27.9
5,6,824,8.4
6,6,846,8.6
7,6,947,9.6
8,6,710,7.2
9,6,544,5.5
10,6,387,3.9
11,6,610,6.2
0,7,1163,11.8
1,7,61,0.6
4,7,798,8.1
5,7,660,6.7
6,7,629,6.4
7,7,542,5.5
8,7,575,5.9
9,7,218,2.2
10,7,285,2.9
11,7,335,3.4
0,8,200,2
3,8,401,4.1
4,8,4566,46.5
5,8,602,6.1
6,8,577,5.9
7,8,657,6.7
8,8,348,3.5
9,8,311,3.2
10,8,287,2.9
11,8,336,3.4
0,9,264,2.7
2,9,317,3.2
3,9,2816,28.7
4,9,688,7
5,9,1434,14.6
6,9,1020,10.4
7,9,425,4.3
8,9,352,3.6
9,9,165,1.7
10,9,270,2.7
11,9,691,7
0,10,275,2.8
2,10,520,5.3
3,10,1697,17.3
6,10,828,8.4
7,10,464,4.7
8,10,233,2.4
9,10,151,1.5
10,10,232,2.4
11,10,770,7.8
0,11,252,2.6
1,11,233,2.4
2,11,1000,10.2
3,11,148,1.5
6,11,80,0.8
7,11,383,3.9
8,11,205,2.1
9,11,178,1.8
10,11,262,2.7
11,11,89,0.9
