x,y,value,pct
0,0,10,0
1,0,13,0.1
2,0,15,0.1
3,0,33,0.1
4,0,304,1.3
5,0,429,1.9
6,0,313,1.4
4,1,337,1.5
5,1,780,3.4
6,1,1362,6
2,2,536,2.4
3,2,2579,11.4
4,2,5776,25.5
5,2,1176,5.2
6,2,3282,14.5
7,2,215,0.9
0,3,2435,10.7
1,3,12696,56
2,3,14046,62
3,3,6753,29.8
4,3,2468,10.9
5,3,5233,23.1
6,3,1921,8.5
7,3,1117,4.9
0,4,2546,11.2
1,4,4230,18.7
3,4,561,2.5
4,4,3883,17.1
5,4,7999,35.3
6,4,1833,8.1
7,4,838,3.7
0,5,2287,10.1
1,5,4629,20.4
5,5,239,1.1
6,5,2841,12.5
7,5,641,2.8
0,6,2997,13.2
1,6,5091,22.5
2,6,3512,15.5
3,6,16588,73.2
4,6,53,0.2
6,6,494,2.2
7,6,355,1.6
0,7,260,1.1
1,7,1959,8.6
2,7,751,3.3
3,7,231,1
6,7,178,0.8
7,7,200,0.9
