x,y,value,pct
0,0,111,1.2
1,0,474,5.1
2,0,357,3.8
3,0,4654,50.1
4,0,2961,31.9
5,0,5701,61.4
6,0,1183,12.7
7,0,1709,18.4
8,0,610,6.6
9,0,202,2.2
1,1,2327,25
2,1,2462,26.5
3,1,78,0.8
5,1,780,8.4
7,1,127,1.4
8,1,474,5.1
9,1,719,7.7
0,2,237,2.6
1,2,2596,27.9
4,2,169,1.8
5,2,5923,63.8
6,2,3048,32.8
7,2,3045,32.8
8,2,399,4.3
9,2,1913,20.6
0,3,953,10.3
1,3,1572,16.9
2,3,898,9.7
3,3,1953,21
4,3,2413,26
5,3,1926,20.7
6,3,778,8.4
9,3,1063,11.4
0,4,1882,20.3
1,4,587,6.3
2,4,687,7.4
3,4,1394,15
5,4,2455,26.4
6,4,2852,30.7
7,4,5173,55.7
8,4,647,7
9,4,2828,30.4
0,5,531,5.7
3,5,1375,14.8
4,5,388,4.2
5,5,2253,24.3
7,5,85,0.9
8,5,4402,47.4
9,5,598,6.4
0,6,2280,24.5
1,6,385,4.1
2,6,1335,14.4
3,6,1285,13.8
4,6,891,9.6
5,6,3465,37.3
6,6,430,4.6
8,6,1308,14.1
9,6,624,6.7
0,7,652,7
1,7,757,8.1
2,7,430,4.6
3,7,2933,31.6
4,7,1097,11.8
5,7,3460,37.2
6,7,5361,57.7
7,7,1482,16
8,7,3748,40.3
9,7,650,7
0,8,601,6.5
1,8,228,2.5
2,8,427,4.6
3,8,324,3.5
5,8,442,4.8
6,8,1152,12.4
8,8,8822,95
9,8,180,1.9
0,9,84,0.9
1,9,436,4.7
2,9,369,4
3,9,2731,29.4
4,9,467,5
5,9,2832,30.5
6,9,269,2.9
8,9,17,0.2
