x,y,value,players,mean_seconds
0,0,4.5,8893,8.62
1,0,0.48,9358,1.26
2,0,0.34,9078,0.78
3,0,0.55,9399,0.9
4,0,0.41,9299,0.75
5,0,0.66,9400,1.12
6,0,0.29,9350,0.61
7,0,0.3,9398,0.6
8,0,0.32,9386,0.51
9,0,0.68,9381,1.15
1,1,0.66,9318,1.11
2,1,0.45,9369,0.79
3,1,0.53,8357,0.92
5,1,0.59,8779,1
7,1,0.52,9081,1.03
8,1,0.4,9316,0.6
9,1,0.43,9378,0.86
0,2,0.64,9277,1.34
1,2,0.51,9357,0.85
4,2,0.7,9068,1.27
5,2,0.77,9398,1.22
6,2,0.65,9340,1.07
7,2,0.52,9392,0.83
8,2,0.4,9115,0.64
9,2,0.44,9395,0.79
0,3,0.47,9387,1.1
1,3,0.46,9358,0.74
2,3,0.4,9341,0.62
3,3,0.48,9354,1.02
4,3,0.57,9377,1.11
5,3,0.51,9313,0.9
6,3,0.5,9310,0.94
9,3,0.34,9311,0.71
0,4,0.45,9391,0.81
1,4,0.39,9225,0.6
2,4,0.36,9316,0.52
3,4,0.53,9341,0.82
5,4,0.62,9352,1.1
6,4,0.61,9353,1.05
7,4,0.73,9396,1.13
8,4,0.57,9278,0.99
9,4,0.41,9395,0.86
0,5,0.34,9251,0.82
3,5,0.54,9364,0.93
4,5,0.45,9280,0.8
5,5,0.54,9360,0.91
7,5,0.57,8628,0.99
8,5,0.62,9396,0.99
9,5,0.28,9295,0.63
0,6,0.4,9384,0.98
1,6,0.43,9289,0.72
2,6,0.4,9357,0.69
3,6,0.4,9346,0.75
4,6,0.42,9343,0.76
5,6,0.55,9381,0.91
6,6,0.58,9003,0.98
8,6,0.47,9107,1.01
9,6,0.29,9381,0.73
0,7,0.32,9375,0.59
1,7,0.36,9373,0.61
2,7,0.35,9260,0.6
3,7,0.48,9383,0.78
4,7,0.52,9357,0.94
5,7,0.62,9389,1.02
6,7,0.73,9398,1.16
7,7,0.65,9082,1.09
8,7,0.63,9399,1.04
9,7,0.32,9391,0.64
0,8,0.36,9395,0.55
1,8,0.34,9204,0.58
2,8,0.35,9343,0.56
3,8,0.44,9187,0.78
5,8,0.48,9188,0.83
6,8,0.47,9351,0.8
8,8,0.77,9401,1.05
9,8,0.64,9330,0.99
0,9,0.55,9232,0.98
1,9,0.33,9392,0.56
2,9,0.3,9351,0.81
3,9,0.43,9392,0.97
4,9,0.33,9108,0.57
5,9,0.5,9400,0.84
6,9,0.57,9332,0.95
8,9,0.5,8636,0.75
