x,y,value,pct
0,0,52,0.6
1,0,372,4.2
2,0,203,2.3
3,0,272,3.1
4,0,167,1.9
5,0,195,2.2
6,0,626,7
7,0,456,5.1
8,0,555,6.2
9,0,814,9.1
10,0,284,3.2
11,0,375,4.2
12,0,175,2
1,1,381,4.3
2,1,507,5.7
3,1,381,4.3
4,1,1173,13.2
5,1,675,7.6
6,1,501,5.6
9,1,190,2.1
10,1,496,5.6
11,1,319,3.6
12,1,787,8.8
0,2,163,1.8
1,2,3144,35.3
2,2,438,4.9
3,2,704,7.9
4,2,149,1.7
6,2,662,7.4
7,2,462,5.2
8,2,376,4.2
9,2,2251,25.3
10,2,355,4
11,2,765,8.6
12,2,599,6.7
0,3,580,6.5
1,3,468,5.3
2,3,1064,11.9
3,3,1094,12.3
4,3,2107,23.6
5,3,1490,16.7
6,3,1042,11.7
7,3,505,5.7
8,3,507,5.7
9,3,596,6.7
10,3,1863,20.9
11,3,587,6.6
12,3,2549,28.6
13,3,220,2.5
0,4,284,3.2
1,4,347,3.9
2,4,318,3.6
3,4,980,11
5,4,414,4.6
6,4,654,7.3
7,4,656,7.4
8,4,379,4.3
9,4,573,6.4
10,4,464,5.2
11,4,1489,16.7
12,4,376,4.2
13,4,477,5.4
0,5,440,4.9
1,5,468,5.3
2,5,530,5.9
3,5,1509,16.9
4,5,1100,12.3
5,5,4041,45.3
6,5,770,8.6
7,5,4371,49
8,5,630,7.1
9,5,1504,16.9
10,5,1851,20.8
11,5,329,3.7
12,5,671,7.5
13,5,284,3.2
0,6,321,3.6
1,6,1166,13.1
2,6,445,5
3,6,1729,19.4
4,6,589,6.6
5,6,525,5.9
7,6,369,4.1
9,6,365,4.1
10,6,370,4.2
11,6,994,11.2
12,6,357,4
13,6,352,3.9
0,7,499,5.6
1,7,233,2.6
3,7,549,6.2
4,7,615,6.9
5,7,2189,24.6
6,7,675,7.6
7,7,4617,51.8
8,7,576,6.5
9,7,1489,16.7
10,7,595,6.7
11,7,530,5.9
12,7,2754,30.9
13,7,148,1.7
0,8,493,5.5
1,8,1241,13.9
2,8,474,5.3
3,8,1971,22.1
4,8,650,7.3
5,8,830,9.3
6,8,783,8.8
7,8,784,8.8
8,8,866,9.7
9,8,680,7.6
10,8,467,5.2
11,8,514,5.8
12,8,981,11
0,9,685,7.7
1,9,536,6
2,9,441,4.9
3,9,613,6.9
4,9,846,9.5
5,9,847,9.5
6,9,403,4.5
7,9,1072,12
8,9,454,5.1
9,9,1906,21.4
10,9,1028,11.5
11,9,493,5.5
12,9,1878,21.1
0,10,784,8.8
1,10,691,7.8
2,10,698,7.8
3,10,840,9.4
4,10,547,6.1
5,10,1089,12.2
6,10,618,6.9
7,10,797,8.9
8,10,1072,12
9,10,430,4.8
12,10,1611,18.1
13,10,75,0.8
0,11,8099,90.9
1,11,2467,27.7
2,11,3348,37.6
3,11,1268,14.2
4,11,931,10.4
5,11,5420,60.8
6,11,965,10.8
7,11,4175,46.8
8,11,618,6.9
9,11,2530,28.4
10,11,848,9.5
11,11,835,9.4
12,11,877,9.8
13,11,595,6.7
0,12,7244,81.3
2,12,164,1.8
3,12,1211,13.6
5,12,260,2.9
7,12,358,4
8,12,2882,32.3
9,12,1160,13
10,12,2133,23.9
11,12,392,4.4
12,12,515,5.8
13,12,510,5.7
0,13,7196,80.7
1,13,24,0.3
3,13,588,6.6
4,13,427,4.8
5,13,3745,42
6,13,578,6.5
7,13,2604,29.2
8,13,155,1.7
10,13,130,1.5
11,13,355,4
12,13,510,5.7
13,13,209,2.3
