moves,x,y,players
49,4,6,3627
50,1,4,313
50,0,7,128
50,0,3,84
50,1,6,53
50,0,5,23
50,2,7,8
51,4,6,1069
51,3,7,23
51,2,6,14
51,0,6,1
51,0,4,1
52,1,4,487
52,4,3,239
52,0,7,219
52,4,1,86
52,5,2,81
52,1,6,76
52,3,4,72
52,5,0,63
52,0,3,60
52,6,3,53
52,7,4,51
52,6,1,46
52,0,5,23
52,7,2,23
52,2,7,20
52,5,4,15
52,3,2,8
53,6,4,947
53,4,6,549
53,5,5,526
53,7,3,148
53,3,7,29
53,6,6,27
53,2,6,25
53,7,7,19
53,5,3,11
53,1,5,8
53,4,4,5
53,6,0,3
53,5,1,3
53,0,6,3
53,7,5,2
53,0,4,2
53,2,2,2
53,6,2,1
54,1,4,352
54,3,4,316
54,4,3,248
54,0,7,174
54,4,1,108
54,6,3,107
54,5,2,106
54,7,2,99
54,6,1,83
54,5,0,69
54,2,7,41
54,1,6,38
54,0,3,37
54,7,4,33
54,7,6,26
54,6,7,19
54,0,5,15
54,3,2,10
54,5,4,6
55,4,6,285
55,6,4,273
55,5,5,265
55,2,2,83
55,7,3,63
55,5,1,62
55,6,6,50
55,7,7,37
55,3,7,28
55,6,0,22
55,2,6,16
55,5,3,14
55,4,2,5
55,0,6,5
55,6,2,5
55,7,5,4
55,0,4,3
55,1,5,3
55,4,4,2
55,1,7,1
56,1,4,275
56,3,4,222
56,4,3,204
56,0,7,94
56,5,2,74
56,7,2,73
56,7,6,64
56,7,4,62
56,5,0,59
56,4,1,55
56,6,3,53
56,6,7,44
56,2,7,32
56,1,6,32
56,6,1,31
56,0,3,16
56,5,4,14
56,0,5,9
56,6,5,6
56,3,2,3
57,5,5,238
57,6,4,210
57,4,6,185
57,5,1,96
57,7,3,73
57,6,6,55
57,7,7,46
57,2,2,45
57,3,7,27
57,2,6,12
57,6,2,12
57,5,3,11
57,6,0,9
57,4,4,8
57,1,5,7
57,0,6,6
57,0,4,5
57,3,3,2
57,7,5,2
58,3,4,144
58,1,4,118
58,4,3,114
58,7,2,74
58,5,2,60
58,7,6,60
58,6,7,57
58,0,7,55
58,4,1,49
58,5,0,47
58,7,4,41
58,6,1,40
58,6,3,38
58,2,7,37
58,1,6,12
58,0,3,11
58,5,4,10
58,0,5,9
