moves,count
49,5021
50,893
51,1640
52,2378
53,3426
54,2829
55,1929
56,2193
57,1715
58,1548
59,1218
60,1176
61,820
62,688
63,596
64,413
65,410
66,240
67,329
68,213
69,258
70,101
71,187
72,71
73,108
74,47
75,111
76,28
77,77
78,26
79,53
80,19
81,34
82,17
83,30
84,8
85,16
86,6
87,13
88,4
89,11
90,6
91,7
92,4
93,5
94,5
95,2
96,3
98,1
99,3
100,3
101,2
102,1
104,1
105,2
108,1
109,4
112,1
123,2
125,1
