x,y,value,pct
2,0,420,3.7
4,0,116,1
6,0,48,0.4
8,0,17,0.1
9,0,16,0.1
1,1,102,0.9
2,1,34,0.3
3,1,1287,11.2
5,1,756,6.6
7,1,382,3.3
8,1,112,1
9,1,21,0.2
0,2,146,1.3
1,2,54,0.5
4,2,386,3.4
5,2,1,0
6,2,77,0.7
7,2,12,0.1
8,2,339,3
9,2,6,0.1
0,3,10,0.1
1,3,45,0.4
2,3,68,0.6
3,3,43,0.4
4,3,23,0.2
5,3,97,0.8
6,3,113,1
9,3,107,0.9
0,4,6,0.1
1,4,231,2
2,4,107,0.9
3,4,69,0.6
5,4,55,0.5
6,4,54,0.5
7,4,6,0.1
8,4,159,1.4
9,4,2,0
0,5,167,1.5
3,5,46,0.4
4,5,137,1.2
5,5,46,0.4
7,5,947,8.3
8,5,4,0
9,5,135,1.2
1,6,134,1.2
2,6,36,0.3
3,6,69,0.6
4,6,79,0.7
5,6,30,0.3
6,6,482,4.2
8,6,353,3.1
9,6,18,0.2
0,7,35,0.3
1,7,33,0.3
2,7,160,1.4
3,7,15,0.1
4,7,51,0.4
5,7,11,0.1
6,7,1,0
7,7,382,3.3
9,7,9,0.1
0,8,6,0.1
1,8,236,2.1
2,8,68,0.6
3,8,252,2.2
5,8,258,2.2
6,8,58,0.5
9,8,77,0.7
0,9,199,1.7
1,9,8,0.1
2,9,55,0.5
3,9,3,0
4,9,353,3.1
6,9,81,0.7
8,9,914,8
