x,y,value,players
0,0,4.5,37023
1,0,0.55,36760
2,0,0.35,36918
3,0,0.31,36824
4,0,0.39,36997
5,0,0.83,36319
0,1,0.71,35986
1,1,0.34,36943
2,1,0.28,34179
3,1,0.32,36719
4,1,0.51,36756
5,1,0.45,37000
0,2,0.37,36915
1,2,0.49,19451
4,2,0.37,36362
5,2,0.32,35544
0,3,0.33,36639
1,3,0.38,36730
4,3,0.37,34597
5,3,0.27,36578
0,4,0.38,36998
1,4,0.52,36168
2,4,0.37,36347
3,4,0.35,36440
4,4,0.52,36904
5,4,0.33,36884
0,5,0.65,33114
1,5,0.33,36999
2,5,0.25,36388
3,5,0.24,36892
4,5,0.3,36726
5,5,0.64,36613
