level,optimal,n,efficiency_p10,efficiency_median,efficiency_p90
tutorial,32,28927,0.8889,1,1
round1,26,26498,0.8387,0.9286,1
round2,49,24394,0.7778,0.9074,1
bonus1,87,9299,0.7768,0.8878,0.956
bonus2,121,7969,0.7857,0.8897,0.968
bonus3,177,7235,0.8157,0.9171,0.9568
