x,y,value,pct
2,0,20,0.2
4,0,8,0.1
5,0,5,0.1
6,0,10,0.1
7,0,60,0.7
8,0,32,0.4
10,0,13,0.1
11,0,1,0
12,0,28,0.3
1,1,105,1.2
2,1,13,0.1
3,1,23,0.3
4,1,3,0
5,1,38,0.4
6,1,90,1
9,1,86,1
10,1,8,0.1
11,1,42,0.5
12,1,5,0.1
0,2,93,1
1,2,1,0
2,2,39,0.4
3,2,17,0.2
4,2,119,1.3
6,2,19,0.2
7,2,42,0.5
8,2,36,0.4
9,2,1,0
10,2,39,0.4
11,2,11,0.1
12,2,36,0.4
0,3,3,0
1,3,38,0.4
2,3,17,0.2
3,3,72,0.8
4,3,17,0.2
5,3,32,0.4
6,3,15,0.2
7,3,19,0.2
8,3,23,0.3
9,3,17,0.2
10,3,12,0.1
11,3,22,0.2
13,3,67,0.8
0,4,12,0.1
1,4,15,0.2
2,4,72,0.8
3,4,90,1
5,4,136,1.5
6,4,66,0.7
7,4,57,0.6
8,4,32,0.4
9,4,29,0.3
10,4,18,0.2
11,4,10,0.1
12,4,22,0.2
13,4,4,0
0,5,3,0
1,5,14,0.2
2,5,18,0.2
3,5,38,0.4
4,5,92,1
6,5,226,2.5
7,5,7,0.1
8,5,240,2.7
9,5,7,0.1
10,5,15,0.2
11,5,47,0.5
12,5,2,0
13,5,6,0.1
0,6,17,0.2
1,6,1,0
2,6,58,0.7
3,6,16,0.2
4,6,83,0.9
5,6,162,1.8
7,6,642,7.2
9,6,131,1.5
10,6,20,0.2
11,6,10,0.1
12,6,38,0.4
13,6,3,0
0,7,5,0.1
1,7,38,0.4
3,7,77,0.9
4,7,42,0.5
5,7,59,0.7
6,7,163,1.8
7,7,3,0
8,7,108,1.2
9,7,14,0.2
10,7,31,0.3
11,7,17,0.2
12,7,2,0
13,7,39,0.4
0,8,10,0.1
1,8,1,0
2,8,75,0.8
3,8,15,0.2
4,8,53,0.6
5,8,41,0.5
6,8,48,0.5
7,8,53,0.6
8,8,14,0.2
9,8,26,0.3
10,8,18,0.2
11,8,15,0.2
12,8,7,0.1
0,9,6,0.1
1,9,13,0.1
2,9,12,0.1
3,9,24,0.3
4,9,21,0.2
5,9,29,0.3
6,9,27,0.3
7,9,10,0.1
8,9,27,0.3
9,9,4,0
10,9,28,0.3
11,9,37,0.4
12,9,13,0.1
0,10,1,0
1,10,15,0.2
2,10,12,0.1
3,10,9,0.1
4,10,45,0.5
5,10,17,0.2
6,10,17,0.2
7,10,21,0.2
8,10,14,0.2
9,10,82,0.9
12,10,60,0.7
13,10,54,0.6
1,11,6,0.1
3,11,52,0.6
4,11,14,0.2
6,11,23,0.3
7,11,1,0
8,11,32,0.4
9,11,3,0
10,11,50,0.6
11,11,10,0.1
12,11,16,0.2
13,11,4,0
2,12,82,0.9
3,12,1,0
5,12,582,6.5
7,12,191,2.1
8,12,3,0
9,12,43,0.5
10,12,1,0
11,12,80,0.9
12,12,34,0.4
13,12,46,0.5
1,13,1758,19.7
3,13,65,0.7
4,13,40,0.4
6,13,68,0.8
7,13,1,0
8,13,69,0.8
10,13,109,1.2
11,13,7,0.1
12,13,5,0.1
13,13,88,1
