seconds,count
0,1
0.5,371
1,2435
1.5,3136
2,2202
2.5,1510
3,1102
3.5,855
4,697
4.5,543
5,484
5.5,413
6,366
6.5,318
7,318
7.5,265
8,213
8.5,185
9,206
9.5,206
10,159
10.5,158
11,141
11.5,141
12,125
12.5,111
13,103
13.5,101
14,88
14.5,106
15,91
15.5,83
16,84
16.5,78
17,73
17.5,68
18,66
18.5,71
19,80
19.5,57
20,56
20.5,43
21,66
21.5,44
22,51
22.5,54
23,56
23.5,55
24,43
24.5,40
25,39
25.5,40
26,35
26.5,30
27,31
27.5,31
28,40
28.5,27
29,33
29.5,34
30,33
30.5,24
31,34
31.5,31
32,28
32.5,25
33,34
33.5,24
34,18
34.5,28
35,27
35.5,17
36,23
36.5,22
37,18
37.5,25
38,21
38.5,25
39,19
39.5,11
40,21
40.5,15
41,19
41.5,20
42,8
42.5,8
43,11
43.5,22
44,13
44.5,19
45,19
45.5,21
46,17
46.5,12
47,16
47.5,7
48,17
48.5,13
49,8
49.5,12
50,17
50.5,13
51,17
51.5,7
52,15
52.5,9
53,11
53.5,5
54,10
54.5,6
55,11
55.5,19
56,10
56.5,12
57,7
57.5,4
58,9
58.5,6
59,10
59.5,5
60,5
