x,y,value,players,mean_seconds
0,0,2.98,8024,5.59
1,0,0.59,7712,0.96
5,0,0.72,8180,1.01
6,0,0.5,8180,0.69
7,0,0.69,8180,1.06
8,0,0.4,8179,0.73
9,0,0.36,8174,0.56
10,0,0.36,8175,0.55
11,0,0.57,8056,0.92
0,1,0.5,8138,0.87
1,1,0.5,8171,0.72
3,1,0.73,4285,1.22
4,1,0.44,8179,0.56
5,1,0.6,8180,0.82
7,1,0.58,8164,0.97
8,1,0.45,8161,0.99
9,1,0.38,8147,0.57
10,1,0.39,7983,0.61
11,1,0.41,8176,0.78
0,2,0.29,8178,0.53
1,2,0.49,8164,0.71
2,2,0.47,8080,0.74
6,2,0.58,7904,0.95
7,2,0.59,8179,0.92
8,2,0.6,8178,0.95
9,2,0.46,8144,0.69
10,2,0.46,8180,0.62
11,2,0.38,8172,0.74
0,3,0.29,8160,1.28
1,3,0.33,8170,0.51
2,3,0.45,8129,0.75
4,3,0.52,8100,0.87
5,3,0.47,8166,0.78
6,3,0.49,8177,0.81
7,3,0.43,8132,0.79
8,3,0.59,8175,1.1
10,3,0.37,8094,0.55
11,3,0.45,8152,0.6
0,4,0.27,8177,0.94
1,4,0.38,8163,0.73
2,4,0.52,8173,0.96
3,4,0.54,8091,1
4,4,0.58,8178,0.88
5,4,0.38,8148,0.69
6,4,0.37,8168,0.64
7,4,0.38,8170,0.64
8,4,0.48,8159,0.86
0,5,0.25,8177,0.58
1,5,0.41,8177,0.76
2,5,0.43,8053,0.84
3,5,0.37,8160,0.65
4,5,0.38,8161,0.72
5,5,0.37,8174,0.66
6,5,0.34,8142,0.65
7,5,0.37,8164,0.74
8,5,0.55,8176,0.87
9,5,0.43,8172,0.81
10,5,0.39,8177,0.54
11,5,0.58,8032,0.82
0,6,0.26,8172,0.65
1,6,0.71,8178,0.99
2,6,0.45,8154,0.76
3,6,0.38,8169,0.62
4,6,0.46,8178,0.79
5,6,0.34,8158,0.64
6,6,0.31,8167,0.53
7,6,0.32,8174,0.55
8,6,0.28,8163,0.53
9,6,0.27,8179,0.44
10,6,0.35,8134,0.5
11,6,0.38,8180,0.61
0,7,0.25,8179,0.47
1,7,0.43,7562,0.66
4,7,0.57,8136,1.06
5,7,0.37,8161,0.63
6,7,0.29,8165,0.47
7,7,0.26,8166,0.53
8,7,0.23,8175,0.38
9,7,0.23,8116,0.38
10,7,0.25,8175,0.38
11,7,0.4,8137,0.69
0,8,0.21,8122,0.3
3,8,0.75,7992,1.53
4,8,0.66,8178,1.03
5,8,0.39,8169,0.82
6,8,0.32,8155,0.51
7,8,0.28,8173,0.6
8,8,0.23,8019,0.39
9,8,0.23,8173,0.37
10,8,0.25,8159,0.39
11,8,0.36,8167,0.79
0,9,0.2,8179,0.26
2,9,0.54,8155,1.02
3,9,0.69,8174,1.27
4,9,0.45,8130,0.81
5,9,0.5,8164,0.82
6,9,0.42,8178,0.62
7,9,0.36,8170,0.55
8,9,0.25,8162,0.36
9,9,0.23,8128,0.36
10,9,0.24,8175,0.37
11,9,0.41,8160,0.74
0,10,0.23,8179,0.31
2,10,0.41,8118,0.62
3,10,0.44,8178,0.6
6,10,0.42,8158,0.54
7,10,0.39,8167,0.54
8,10,0.28,8177,0.38
9,10,0.24,8177,0.35
10,10,0.29,8141,0.42
11,10,0.38,8175,0.58
0,11,0.6,8176,0.86
1,11,0.39,8165,0.71
2,11,0.48,8177,0.86
3,11,0.49,8134,0.75
6,11,0.44,8157,0.75
7,11,0.31,8169,0.51
8,11,0.21,8173,0.34
9,11,0.2,8170,0.31
10,11,0.25,8176,0.36
11,11,0.55,7966,0.79
