x,y,value,pct
1,0,552,5.6
8,0,1,0
9,0,5,0.1
10,0,6,0.1
11,0,147,1.5
0,1,46,0.5
1,1,10,0.1
3,1,4679,47.7
7,1,17,0.2
8,1,21,0.2
9,1,39,0.4
10,1,226,2.3
11,1,4,0
0,2,1,0
1,2,14,0.1
2,2,106,1.1
6,2,353,3.6
8,2,1,0
9,2,39,0.4
11,2,12,0.1
1,3,10,0.1
2,3,52,0.5
4,3,94,1
5,3,16,0.2
6,3,2,0
7,3,58,0.6
8,3,2,0
10,3,103,1
11,3,33,0.3
0,4,1,0
1,4,21,0.2
2,4,3,0
3,4,107,1.1
4,4,1,0
5,4,42,0.4
6,4,14,0.1
7,4,12,0.1
8,4,22,0.2
0,5,2,0
1,5,1,0
2,5,145,1.5
3,5,19,0.2
4,5,22,0.2
5,5,8,0.1
6,5,45,0.5
7,5,16,0.2
8,5,1,0
9,5,6,0.1
10,5,3,0
11,5,178,1.8
0,6,10,0.1
1,6,2,0
2,6,31,0.3
3,6,16,0.2
4,6,2,0
5,6,21,0.2
6,6,15,0.2
7,6,6,0.1
8,6,18,0.2
9,6,2,0
10,6,52,0.5
0,7,1,0
1,7,753,7.7
4,7,41,0.4
5,7,19,0.2
6,7,11,0.1
7,7,19,0.2
8,7,6,0.1
9,7,77,0.8
10,7,5,0.1
11,7,45,0.5
0,8,64,0.7
3,8,214,2.2
4,8,3,0
5,8,8,0.1
6,8,28,0.3
7,8,6,0.1
8,8,202,2.1
9,8,6,0.1
10,8,20,0.2
11,8,7,0.1
0,9,2,0
2,9,26,0.3
4,9,59,0.6
5,9,8,0.1
6,9,1,0
7,9,11,0.1
8,9,23,0.2
9,9,64,0.7
10,9,5,0.1
11,9,18,0.2
0,10,1,0
2,10,76,0.8
3,10,2,0
6,10,25,0.3
7,10,16,0.2
8,10,4,0
9,10,2,0
10,10,48,0.5
11,10,6,0.1
0,11,1,0
1,11,15,0.2
3,11,56,0.6
6,11,28,0.3
7,11,9,0.1
8,11,8,0.1
9,11,12,0.1
10,11,3,0
11,11,262,2.7
