x,y,value,pct
0,0,14,0.1
1,0,18,0.1
2,0,21,0.1
3,0,42,0.2
4,0,377,1.5
5,0,537,2.2
6,0,375,1.5
4,1,388,1.6
5,1,899,3.7
6,1,1549,6.3
2,2,622,2.5
3,2,2922,12
4,2,6402,26.2
5,2,1380,5.7
6,2,3730,15.3
7,2,247,1
0,3,2791,11.4
1,3,13941,57.1
2,3,15420,63.2
3,3,7554,31
4,3,2812,11.5
5,3,5818,23.9
6,3,2196,9
7,3,1301,5.3
0,4,2924,12
1,4,4705,19.3
3,4,628,2.6
4,4,4307,17.7
5,4,8897,36.5
6,4,2097,8.6
7,4,975,4
0,5,2643,10.8
1,5,5140,21.1
5,5,282,1.2
6,5,3229,13.2
7,5,743,3
0,6,3453,14.2
1,6,5761,23.6
2,6,3986,16.3
3,6,18170,74.5
4,6,62,0.3
6,6,583,2.4
7,6,418,1.7
0,7,303,1.2
1,7,2252,9.2
2,7,870,3.6
3,7,265,1.1
6,7,209,0.9
7,7,229,0.9
