x,y,value,players
0,0,2.69,30954
1,0,0.28,30954
2,0,0.22,30954
3,0,0.24,30954
4,0,0.29,30954
5,0,0.37,30522
6,0,0.73,30803
4,1,0.81,30378
5,1,0.41,30476
6,1,0.61,30592
2,2,0.62,30660
3,2,0.43,30900
4,2,0.57,30944
5,2,0.41,30343
6,2,0.42,30911
7,2,0.64,30379
0,3,0.76,30637
1,3,0.83,30954
2,3,0.78,30954
3,3,0.55,30948
4,3,0.47,29617
5,3,0.54,30841
6,3,0.57,30502
7,3,0.34,30452
0,4,0.42,30919
1,4,0.58,28358
3,4,0.55,29402
4,4,0.5,30917
5,4,0.61,30884
6,4,0.43,28515
7,4,0.28,30636
0,5,0.44,30828
1,5,0.43,30840
5,5,0.6,28185
6,5,0.51,30935
7,5,0.25,30902
0,6,0.48,30913
1,6,0.58,30590
2,6,0.41,30771
3,6,0.7,30954
4,6,0.63,21522
6,6,0.38,30451
7,6,0.3,30412
0,7,0.56,29712
1,7,0.38,30950
2,7,0.36,30349
3,7,0.5,30641
6,7,0.48,30180
7,7,0.54,30443
