x,y,value,players
0,0,4.85,11475
1,0,0.48,11475
2,0,0.34,11055
3,0,0.55,11475
4,0,0.41,11359
5,0,0.66,11475
6,0,0.28,11427
7,0,0.3,11475
8,0,0.32,11458
9,0,0.68,11459
1,1,0.65,11373
2,1,0.44,11441
3,1,0.52,10188
5,1,0.58,10719
7,1,0.52,11093
8,1,0.4,11363
9,1,0.43,11454
0,2,0.63,11329
1,2,0.51,11421
4,2,0.7,11089
5,2,0.76,11474
6,2,0.65,11398
7,2,0.52,11463
8,2,0.4,11136
9,2,0.43,11469
0,3,0.47,11465
1,3,0.45,11430
2,3,0.39,11407
3,3,0.48,11432
4,3,0.56,11452
5,3,0.5,11378
6,3,0.5,11362
9,3,0.33,11368
0,4,0.45,11469
1,4,0.39,11244
2,4,0.36,11368
3,4,0.53,11406
5,4,0.62,11420
6,4,0.61,11421
7,4,0.72,11469
8,4,0.56,11316
9,4,0.4,11473
0,5,0.34,11308
3,5,0.53,11429
4,5,0.44,11338
5,5,0.54,11429
7,5,0.56,10528
8,5,0.61,11471
9,5,0.28,11340
0,6,0.4,11475
1,6,0.42,11341
2,6,0.39,11439
3,6,0.4,11406
4,6,0.41,11396
5,6,0.55,11445
6,6,0.57,10993
8,6,0.47,11122
9,6,0.29,11457
0,7,0.31,11440
1,7,0.35,11442
2,7,0.35,11315
3,7,0.48,11460
4,7,0.52,11424
5,7,0.62,11464
6,7,0.73,11474
7,7,0.64,11093
8,7,0.62,11475
9,7,0.32,11466
0,8,0.35,11469
1,8,0.34,11239
2,8,0.35,11407
3,8,0.43,11223
5,8,0.47,11217
6,8,0.47,11417
8,8,0.77,11475
9,8,0.63,11398
0,9,0.55,11276
1,9,0.33,11467
2,9,0.29,11420
3,9,0.42,11472
4,9,0.33,11122
5,9,0.5,11475
6,9,0.56,11394
8,9,0.5,10561
