x,y,value,players,mean_seconds
0,0,3.1,7206,5.76
1,0,0.5,7392,0.87
2,0,0.2,7386,0.37
3,0,0.18,7400,0.31
4,0,0.18,7394,0.29
5,0,0.18,7396,0.28
6,0,0.18,7389,0.35
7,0,0.18,7352,0.26
8,0,0.18,7366,0.36
9,0,0.19,7395,0.43
10,0,0.2,7388,0.33
11,0,0.23,7399,0.38
12,0,0.67,7369,1.03
1,1,0.57,7310,0.99
2,1,0.32,7390,0.49
3,1,0.25,7378,0.46
4,1,0.27,7394,0.53
5,1,0.31,7371,0.51
6,1,0.45,7324,0.66
9,1,0.6,7325,1.13
10,1,0.37,7392,0.57
11,1,0.4,7368,0.68
12,1,0.42,7391,0.75
0,2,0.59,7324,1.02
1,2,0.48,7399,0.73
2,2,0.37,7367,0.62
3,2,0.37,7385,0.59
4,2,0.51,7301,0.91
6,2,0.46,7380,0.76
7,2,0.38,7362,0.57
8,2,0.35,7370,0.55
9,2,0.47,7398,0.76
10,2,0.39,7365,0.7
11,2,0.37,7390,0.6
12,2,0.52,7371,0.99
0,3,0.38,7396,0.67
1,3,0.41,7372,0.72
2,3,0.37,7384,0.58
3,3,0.43,7337,0.69
4,3,0.49,7385,0.76
5,3,0.44,7372,0.7
6,3,0.33,7384,0.57
7,3,0.3,7379,0.54
8,3,0.3,7383,0.5
9,3,0.36,7381,0.64
10,3,0.4,7391,0.59
11,3,0.39,7379,0.64
12,3,0.43,7397,0.71
13,3,0.53,7340,0.88
0,4,0.28,7389,0.53
1,4,0.3,7389,0.44
2,4,0.36,7341,0.56
3,4,0.46,7328,0.74
5,4,0.49,7284,0.8
6,4,0.37,7345,0.59
7,4,0.32,7347,0.54
8,4,0.32,7369,0.51
9,4,0.32,7378,0.53
10,4,0.35,7383,0.56
11,4,0.39,7391,0.65
12,4,0.44,7379,0.8
13,4,0.34,7394,0.61
0,5,0.27,7394,0.55
1,5,0.27,7389,0.43
2,5,0.35,7385,0.57
3,5,0.43,7365,0.68
4,5,0.48,7317,0.77
5,5,0.56,7400,0.85
6,5,0.45,7212,0.74
7,5,0.59,7391,0.86
8,5,0.41,7202,0.68
9,5,0.36,7391,0.59
10,5,0.36,7385,0.61
11,5,0.36,7355,0.59
12,5,0.35,7397,0.54
13,5,0.25,7392,0.47
0,6,0.26,7384,0.49
1,6,0.3,7398,0.5
2,6,0.42,7352,0.68
3,6,0.42,7384,0.66
4,6,0.39,7336,0.61
5,6,0.48,7270,0.8
7,6,0.5,6861,0.75
9,6,0.4,7282,0.72
10,6,0.34,7382,0.52
11,6,0.38,7391,0.61
12,6,0.4,7367,0.73
13,6,0.28,7396,0.5
0,7,0.26,7394,0.46
1,7,0.33,7366,0.61
3,7,0.49,7342,0.77
4,7,0.37,7363,0.56
5,7,0.42,7352,0.64
6,7,0.42,7255,0.71
7,7,0.59,7399,0.87
8,7,0.42,7310,0.7
9,7,0.39,7387,0.62
10,7,0.34,7373,0.53
11,7,0.36,7385,0.59
12,7,0.49,7398,0.8
13,7,0.65,7359,0.96
0,8,0.29,7388,0.59
1,8,0.32,7398,0.52
2,8,0.43,7340,0.71
3,8,0.4,7389,0.61
4,8,0.35,7356,0.57
5,8,0.34,7363,0.58
6,8,0.34,7361,0.54
7,8,0.37,7357,0.63
8,8,0.37,7389,0.59
9,8,0.36,7380,0.64
10,8,0.37,7385,0.58
11,8,0.36,7388,0.57
12,8,0.43,7390,0.7
0,9,0.31,7391,0.58
1,9,0.32,7390,0.52
2,9,0.33,7390,0.5
3,9,0.34,7378,0.63
4,9,0.34,7382,0.54
5,9,0.33,7377,0.53
6,9,0.3,7377,0.49
7,9,0.34,7392,0.54
8,9,0.35,7378,0.62
9,9,0.43,7392,0.68
10,9,0.39,7376,0.59
11,9,0.47,7366,0.72
12,9,0.5,7384,0.79
0,10,0.36,7399,0.66
1,10,0.39,7386,0.61
2,10,0.34,7390,0.58
3,10,0.37,7391,0.57
4,10,0.35,7363,0.57
5,10,0.33,7384,0.58
6,10,0.3,7386,0.52
7,10,0.33,7381,0.61
8,10,0.39,7385,0.61
9,10,0.51,7333,0.84
12,10,0.45,7349,0.68
13,10,0.48,7357,0.78
0,11,0.81,7400,1.18
1,11,0.5,7394,0.84
2,11,0.56,7399,0.88
3,11,0.43,7355,0.69
4,11,0.4,7385,0.63
5,11,0.65,7399,0.88
6,11,0.42,7388,0.7
7,11,0.59,7398,0.82
8,11,0.44,7371,0.79
9,11,0.52,7395,0.89
10,11,0.47,7351,1.04
11,11,0.42,7394,0.6
12,11,0.43,7385,0.65
13,11,0.38,7394,0.62
0,12,0.61,7400,0.76
2,12,0.6,7328,1.06
3,12,0.48,7397,0.75
5,12,0.47,6928,0.68
7,12,0.5,7243,0.83
8,12,0.6,7395,1.01
9,12,0.58,7360,1.14
10,12,0.46,7399,0.74
11,12,0.38,7339,0.58
12,12,0.37,7370,0.5
13,12,0.36,7362,0.54
0,13,0.8,7400,1.05
1,13,0.58,5896,0.8
3,13,0.56,7342,0.87
4,13,0.35,7367,0.49
5,13,0.52,7398,0.83
6,13,0.33,7349,0.52
7,13,0.52,7398,1.03
8,13,0.56,7344,1.1
10,13,0.47,7305,0.76
11,13,0.37,7392,0.56
12,13,0.37,7395,0.62
13,13,0.55,7329,0.83
