x,y,players,median_seconds
0,0,1101,2.46
1,0,1054,0.76
5,0,1101,1.06
6,0,1101,0.67
7,0,1101,0.93
8,0,1101,0.48
9,0,1100,0.33
10,0,1099,0.37
11,0,1093,0.64
0,1,1096,0.5
1,1,1099,0.54
3,1,872,0.95
4,1,1101,0.57
5,1,1101,0.87
7,1,1092,0.73
8,1,1099,0.45
9,1,1095,0.39
10,1,1071,0.45
11,1,1100,0.45
0,2,1101,0.2
1,2,1100,0.62
2,2,1059,0.55
6,2,1025,0.7
7,2,1101,0.71
8,2,1100,0.65
9,2,1096,0.48
10,2,1101,0.53
11,2,1101,0.47
0,3,1101,0.18
1,3,1097,0.35
2,3,1091,0.54
4,3,1082,0.59
5,3,1098,0.49
6,3,1100,0.55
7,3,1099,0.48
8,3,1101,0.64
10,3,1073,0.43
11,3,1088,0.5
0,4,1101,0.19
1,4,1100,0.47
2,4,1101,0.61
3,4,1084,0.55
4,4,1101,0.67
5,4,1097,0.36
6,4,1099,0.31
7,4,1101,0.41
8,4,1100,0.55
0,5,1101,0.2
1,5,1101,0.45
2,5,1090,0.38
3,5,1097,0.28
4,5,1101,0.24
5,5,1099,0.23
6,5,1100,0.22
7,5,1101,0.29
8,5,1101,0.55
9,5,1098,0.4
10,5,1099,0.47
11,5,1091,0.68
0,6,1100,0.22
1,6,1101,0.86
2,6,1099,0.46
3,6,1100,0.36
4,6,1101,0.46
5,6,1101,0.27
6,6,1101,0.24
7,6,1101,0.23
8,6,1101,0.21
9,6,1101,0.21
10,6,1096,0.38
11,6,1101,0.44
0,7,1101,0.19
1,7,836,0.62
4,7,1093,0.62
5,7,1099,0.34
6,7,1100,0.22
7,7,1101,0.21
8,7,1101,0.21
9,7,1098,0.2
10,7,1101,0.25
11,7,1099,0.43
0,8,1095,0.17
3,8,1060,0.8
4,8,1099,0.73
5,8,1099,0.29
6,8,1099,0.22
7,8,1101,0.21
8,8,1098,0.2
9,8,1098,0.2
10,8,1098,0.24
11,8,1100,0.43
0,9,1101,0.17
2,9,1089,0.65
3,9,1101,0.89
4,9,1099,0.5
5,9,1099,0.45
6,9,1101,0.45
7,9,1101,0.28
8,9,1099,0.2
9,9,1098,0.2
10,9,1100,0.22
11,9,1098,0.51
0,10,1101,0.18
2,10,1061,0.47
3,10,1099,0.54
6,10,1098,0.49
7,10,1095,0.43
8,10,1100,0.23
9,10,1101,0.22
10,10,1091,0.35
11,10,1099,0.5
0,11,1101,0.75
1,11,1097,0.42
2,11,1101,0.52
3,11,1089,0.63
6,11,1095,0.5
7,11,1100,0.34
8,11,1099,0.19
9,11,1098,0.18
10,11,1100,0.25
11,11,1076,0.61
