x,y,players,mean_seconds,median_seconds
0,0,1001,8.31,4.43
1,0,1094,0.75,0.45
5,0,1094,0.48,0.37
6,0,1094,0.41,0.35
7,0,1094,0.51,0.4
8,0,1094,0.59,0.4
9,0,1094,0.57,0.41
10,0,1094,0.48,0.36
11,0,1094,0.61,0.42
0,1,1091,1.41,0.52
1,1,1093,0.7,0.43
4,1,1094,0.46,0.27
5,1,1094,0.38,0.32
7,1,1094,0.51,0.38
8,1,1094,0.69,0.38
9,1,1094,0.5,0.35
10,1,1094,0.47,0.35
11,1,1094,0.89,0.43
0,2,1093,0.98,0.42
1,2,1093,0.47,0.35
2,2,1093,0.82,0.43
6,2,1094,0.93,0.51
7,2,1094,0.78,0.45
8,2,1093,0.89,0.46
9,2,1094,0.63,0.43
10,2,1094,0.47,0.39
11,2,1094,0.96,0.38
0,3,1083,3.88,1.05
1,3,1094,0.5,0.35
2,3,1091,1.04,0.43
4,3,1094,0.94,0.48
5,3,1092,1.04,0.49
6,3,1093,0.86,0.46
7,3,1094,0.59,0.38
8,3,1091,1.3,0.48
10,3,1094,0.43,0.32
11,3,1094,0.55,0.43
0,4,1093,2.28,0.51
1,4,1093,0.82,0.37
2,4,1091,1.22,0.48
3,4,1094,1.54,0.63
4,4,1094,0.93,0.46
5,4,1094,0.94,0.41
6,4,1094,1.09,0.5
7,4,1094,0.72,0.36
8,4,1093,0.89,0.45
0,5,1094,1.01,0.44
1,5,1093,0.71,0.43
2,5,1091,1.28,0.5
3,5,1094,1.15,0.48
4,5,1091,1.14,0.47
5,5,1094,0.9,0.44
6,5,1094,0.96,0.42
7,5,1093,0.96,0.43
8,5,1092,1.09,0.45
9,5,1090,1.44,0.47
10,5,1094,0.56,0.37
11,5,1094,0.81,0.48
0,6,1094,0.91,0.4
1,6,1094,0.77,0.45
2,6,1093,0.89,0.47
3,6,1094,0.77,0.44
4,6,1093,1.04,0.48
5,6,1090,0.99,0.41
6,6,1093,0.73,0.37
7,6,1094,0.65,0.37
8,6,1094,0.55,0.33
9,6,1094,0.49,0.34
10,6,1094,0.49,0.33
11,6,1094,0.56,0.35
0,7,1094,0.62,0.42
1,7,1094,0.52,0.38
4,7,1090,1.41,0.53
5,7,1092,0.96,0.43
6,7,1093,0.64,0.33
7,7,1094,0.91,0.34
8,7,1094,0.46,0.28
9,7,1093,0.48,0.28
10,7,1094,0.43,0.3
11,7,1090,1.19,0.42
0,8,1094,0.37,0.28
3,8,1089,2.49,0.89
4,8,1094,1.42,0.61
5,8,1093,1.3,0.52
6,8,1094,0.66,0.4
7,8,1093,1.01,0.37
8,8,1094,0.54,0.3
9,8,1094,0.49,0.28
10,8,1094,0.43,0.27
11,8,1090,1.73,0.4
0,9,1094,0.29,0.25
2,9,1092,1.03,0.48
3,9,1091,1.88,0.67
4,9,1092,1.21,0.51
5,9,1085,1.21,0.57
6,9,1093,0.61,0.35
7,9,1094,0.68,0.37
8,9,1094,0.38,0.26
9,9,1094,0.39,0.24
10,9,1094,0.36,0.28
11,9,1091,1.08,0.4
0,10,1094,0.36,0.31
2,10,1094,0.46,0.37
3,10,1094,0.45,0.37
6,10,1094,0.48,0.38
7,10,1094,0.48,0.34
8,10,1094,0.37,0.32
9,10,1094,0.4,0.25
10,10,1094,0.38,0.27
11,10,1094,0.65,0.34
0,11,1092,0.87,0.48
1,11,1092,1.11,0.4
2,11,1093,0.89,0.42
3,11,1094,0.56,0.41
6,11,1094,1.23,0.44
7,11,1094,0.63,0.31
8,11,1094,0.42,0.23
9,11,1094,0.36,0.24
10,11,1094,0.36,0.28
11,11,1094,0.77,0.5
