x,y,value,players,mean_seconds
0,0,5.2,21226,9.65
1,0,0.43,21436,1.35
2,0,0.39,22558,1.04
3,0,0.39,19809,0.54
4,0,0.74,22591,1.18
0,1,0.66,13382,1.21
1,1,0.44,22578,0.85
2,1,0.65,20878,1.12
4,1,0.76,22367,1.67
2,2,1.08,22597,1.62
3,2,0.57,19142,0.8
4,2,0.74,22607,1.19
5,2,0.65,21938,1.01
1,3,0.69,22302,1.27
2,3,0.78,22504,1.42
4,3,0.61,22581,1.11
5,3,0.62,21981,0.92
1,4,0.52,22597,1.11
2,4,0.56,22053,0.94
3,4,0.59,21698,1.01
4,4,0.68,22572,1.4
1,5,0.58,22261,1.14
2,5,0.43,22511,0.7
3,5,0.45,22546,0.89
4,5,0.66,22386,1.3
