x,y,t
0,0,0
1,0,10042
2,0,10215
3,0,10356
4,0,10537
5,0,10712
6,0,10913
6,1,11183
5,1,11483
4,1,11885
4,2,12242
5,2,12634
6,2,12874
7,2,13139
7,3,13592
7,4,13854
7,5,14064
7,6,14288
7,7,14524
6,7,14841
6,6,15179
6,5,15443
5,5,18053
5,4,18450
6,4,18731
6,3,18986
5,3,19351
4,3,19965
4,4,20263
3,4,20573
3,3,21034
3,2,21474
2,2,21781
2,3,22142
1,3,22446
0,3,25774
0,4,26132
1,4,26458
1,5,27754
0,5,28109
0,6,29731
0,7,30096
1,7,30432
1,6,30701
2,6,30995
2,7,31282
3,7,31534
3,6,31794
4,6,32034
