nodes,value,group
10,416,optimal
10,416,empirical
20,561,optimal
20,564,empirical
30,663,optimal
30,704,empirical
40,729,optimal
40,783,empirical
50,807,optimal
50,885,empirical
60,885,optimal
60,960,empirical
70,944,optimal
70,1055,empirical
80,1016,optimal
80,1131,empirical
90,1061,optimal
90,1185,empirical
100,1121,optimal
100,1244,empirical
110,1182,optimal
110,1325,empirical
120,1230,optimal
120,1382,empirical
