x,y,t
0,0,0
1,0,2332
2,0,2858
3,0,3111
4,0,3376
5,0,3720
5,1,4034
5,2,4245
5,3,4402
5,4,4568
5,5,4784
4,5,5115
3,5,5288
2,5,5453
1,5,5617
0,5,5900
0,4,6201
0,3,6391
0,2,6564
0,1,6720
1,1,7102
2,1,7282
3,1,7454
4,1,7726
4,2,8034
4,3,8227
4,4,8546
3,4,8820
2,4,9083
1,4,9450
1,3,9757
1,2,10066
