x,y,t
0,0,0
1,0,4207
2,0,4485
3,0,4823
4,0,5065
5,0,5410
5,1,6329
5,2,6553
5,3,6758
5,4,6958
5,5,7125
4,5,7525
3,5,7711
2,5,7889
1,5,8074
0,5,8249
0,4,9542
0,3,9734
0,2,9931
0,1,10132
1,1,10546
2,1,10742
3,1,10953
4,1,11137
4,2,12173
4,3,12388
4,4,12567
4,5,12730
4,4,14092
3,4,14630
2,4,14853
1,4,15043
1,3,16230
1,2,16413
