x,y,t
0,0,0
1,0,1534
2,0,1738
3,0,1996
4,0,2355
4,1,4483
4,2,4938
5,2,5279
5,3,5735
4,3,6105
4,4,6498
4,5,6733
3,5,10019
2,5,10400
1,5,10847
1,4,11290
2,4,12023
3,4,12336
2,4,12621
2,3,12919
1,3,13286
2,3,13591
2,2,13943
3,2,14584
2,2,15327
2,1,15568
1,1,15831
0,1,16015
