x,y,t
0,0,0
0,1,11564
1,1,11822
1,0,12087
2,0,12364
3,0,13117
4,0,14238
4,1,14630
4,2,15103
5,2,15306
5,3,15662
4,3,16186
4,4,16486
4,5,17286
3,5,17605
3,4,17837
2,4,18125
2,5,18480
1,5,18782
1,4,19023
1,3,19329
2,3,19605
2,2,24122
2,1,25164
2,2,25867
3,2,25993
